level,type,Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
5,country,Iceland,22.08160758,18.27233233,-12.73765811,0.4437659756,-1.529786516,-9.259302198,83.36842105,149.5395907,152.6389443,68.54191522,171.2249049,173.5906537,87.13563026,332.0992322,725.9262847,3071.050797,3843.07495,6824.791195,919.6922269,78.77028098,245.1366961,1107.490902,1025.126844,396.816639,447.1128208,708.530383,-427.2365816,-41.39851929,-381.4675241,-225.2404096,-928.49956,517.7934505,1060.652749,1463.880518,188.8400462
5,country,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,71.89007727,49.4314936,65.37656839,500.611849,622.0016282,934.4422272,960.4233347,1527.259416,760.4407684,558.0526998,619.7529468,447.4745998,497.6552017,699.365361,226.4096434,558.5657639,489.8148207,416.4472564,532.284501,698.9195839,876.7347837,526.2299782,598.0710589
5,country,North Macedonia,0,0,0,0,24,9.49,11.21,58.058346,150.4820856,88.4061564,215.0566,447.132,0,113.3263509,323.6693698,96.02169079,432.5766596,692.5101678,585.7687641,201.3962378,212.5275196,478.7697715,142.9041866,334.9555256,272.533595,240.451753,374.6046213,205.2980118,725.2026713,446.4021523,230.0606735,556.4949796,784.5223649,624.6860635,1358.347435
5,country,Norway,1563.802969,302.3319667,-668.1148926,991.5239783,2776.447451,2409.410338,3211.102343,3981.536461,3934.871639,6789.95329,6408.77362,2505.658027,1192.417627,2450.347588,954.0368174,-2273.651533,8061.802527,37.70256599,8203.368794,18323.30682,11695.40235,8682.495303,10088.18221,-537.8723404,-3439.723121,-6099.449788,-6842.261905,-11403.01777,-1188.687366,5003.181818,-5620.108173,3105.937136,17042.14208,16229.82064,10756.72775
5,country,Republic of Moldova,0,0,17,14,12.02,66.9099999,23.7399999,78.7399999,75.51,37.89,127.54,103.44,84.0499999,73.75,146.1999999,190.6999999,258.47,541.2599999,711.46,274.14,292.96,359.67,241.44,233.21,341.69,237.3,83.23,151.59,312.84,522.82,149.96,404.34,591.35,356.76,343.75
5,country,Russian Federation,0,0,1161,1210.782,689.5739999,2065.723,2579.321,4864.643,2761.36,3285.93,2651.06,2808.331,3425.021,7754.758,15283.751,14375.052,37441.574,54921.85,75855.697,27752.258,31667.969,36867.773,30187.664,53397.139,29151.662,11857.81,37175.76691,25953.53583,13227.64206,32075.62193,10409.87,38638.88,-15204.6,8997.58,3346.32
5,country,Serbia,0,0,0,0,0,0,0,740,113,112,51.78091026,177.4409178,490.6357348,1466.986594,958.4697622,1577.035766,4255.703638,4405.906892,3971.856301,2896.05718,1686.103748,4932.251615,1298.570302,2053.097389,1998.795071,2347.559775,2352.016562,2878.291575,4090.505675,4269.812527,3468.526199,4589.575178,4598.443329,4916.106726,5635.485161
5,country,Serbia and Montenegro,0,0,125.6813081,96.1073501,62.5847823,44.9853536,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,country,Switzerland,5483.889545,2642.27784,411.0309909,-83.2419702,3366.991058,2222.466532,3078.454058,6635.798003,8940.757754,11718.59189,19854.57474,9389.136116,6864.257255,17305.4617,1845.838359,-266.9493566,44598.43361,33538.24238,16214.86619,29934.89716,29875.9404,26414.90267,29482.97401,1154.920703,9340.071712,65063.28284,88472.33587,128156.434,-100954.1848,-84435.84358,-46370.90497,-74074.26235,-41140.65742,-21393.80364,-60708.31249
5,country,Ukraine,0,0,200,200,159,267,521,623,743,496,595,792,693,1424,1715,7808,5604,9891,10913,4816,6495,7207,8401,4499,410,-331,4055,3727,4732,6017,-36,7320,531,4485,3329
5,country,United Kingdom,30461.116,14846.168,17236.65875,16956.70237,10235.26729,23589.64,28448.04184,33128.36833,65062.00482,90033.76711,115304.0181,35948.78033,19683.07447,16590.14616,61219.74441,182927.9379,147372.4303,176838.6384,92158.33343,89709.13776,58200.28153,42200.40023,55446.12011,51675.89032,24690.24073,39185.7001,258698.6755,96353.8315,87837.47725,53918.27123,44397.4359,-72077.46213,14911.83308,52187.65032,-40003.06743
3,region,North America,56004.276,25679.957,23945.744,55394.586,53299.115,68026.772,94088.764,114923.1838,197237.446,308120.0652,380802.0522,187124.4211,96612.45587,60628.24546,135380.9646,130464.5561,297429.9102,332772.594,367918.5191,166303.6763,226449.4426,269531.2979,242145.0061,270761.2412,260738.2048,511460.9699,495474.8742,331723.8459,240895.9247,280473.6794,118966.6496,447547.206,362722.491,279630.6176,342943.6359
4,country,Canada,7582.276,2880.957,4723.744,4731.586,8204.115,9254.772,9633.764,11525.1838,22803.446,24744.06521,66795.05222,27663.42106,22155.45587,7482.245459,-445.0354337,25691.55608,60293.91022,116820.594,61552.51912,22699.67632,28400.44265,39669.29788,43111.00614,69368.24121,59005.2048,43835.96994,36055.87423,22766.84593,37661.92475,50543.67938,25593.64964,61450.20604,45827.49096,46524.61759,64095.63592
4,country,United States,48422,22799,19222,50663,45095,58772,84455,103398,174434,283376,314007,159461,74457,53146,135826,104773,237136,215952,306366,143604,198049,229862,199034,201393,201733,467625,459419,308957,203234,229930,93373,386097,316895,233106,278848
3,region,Other developed economies,12577.91384,8535.670022,10628.65368,7781.325981,9879.380424,18633.88479,14175.80028,18230.7235,18605.8048,30503.95082,42394.01488,22152.71378,32300.81838,20219.70606,65940.13026,-5809.023004,47332.98499,85854.43015,95994.02917,58090.83911,52195.12338,79579.79157,83370.96784,85595.53049,88292.57245,47544.37435,94914.20486,92470.82757,113558.4255,83708.51041,62780.5156,106119.6654,158351.6629,88456.73165,100613.7319
4,country,Australia,7904.391676,4055.275129,5479.381633,4054.917854,4762.566258,11678.76178,5629.724696,7762.472354,5528.856725,1847.15636,14190.96375,7825.430321,14246.20768,6338.891375,39611.69333,-28294.65356,26313.84745,41480.41537,46905.66861,31893.08917,36795.51625,58931.59409,59574.38437,56765.52363,58506.70657,29580.2688,48402.10822,46115.76075,67568.88014,38535.78745,16419.54875,27020.99722,65943.24336,30576.85038,53454.03528
4,country,Israel,137.12,49.56,303.8679999,471.85,475.199,1576.598,1616.775,1990.376,1966.699,4187.194,6957.443,1771.719,1582.835,3322.393,2947.35,4818.272,14395.879,8798.282,10274.699,4607.028,6984.909,8653.401,9017.54,11842.324,6049.105,11336.502,11988.255,16892.825,21514.605,17362.681,20968.888,18950.101,22883.454,16135.245,16808.461
4,country,Japan,1806.039008,1284.26882,2755.603983,210.4354395,888.3844709,41.46307235,228.0835455,3224.61836,3192.576296,12741.33635,8322.739294,6241.595833,9239.348263,6323.977642,7815.417818,2775.758043,-6505.843558,22548.85099,24425.12215,11938.34141,-1251.810494,-1758.334482,1731.531949,2303.718219,12029.78823,2975.527938,19358.83601,9355.587239,9962.720845,13755.37321,11768.22608,34294.02016,34194.42283,20840.76128,13356.57171
4,country,New Zealand,1684.763155,1691.366072,1088.200066,2211.822687,2616.630695,2849.961939,3918.61704,1917.456791,1825.772782,941.4641116,1346.568839,-250.1313715,1751.927444,-2788.455955,1439.669115,1204.700515,3706.202093,3589.38178,3122.869413,700.8645245,-61.62138007,4238.000964,3504.001523,1862.464635,2436.797657,-308.9303895,2978.705631,2481.863849,2234.203166,4415.383348,4746.903164,3792.615646,10275.91598,1708.390827,1651.023901
4,country,Republic of Korea,1045.6,1455.2,1001.6,832.2999999,1136.6,2487.1,2782.6,3301.1,5989.2,10726.3,11509.4,6522.3,5475.1,7010,13294.4,13643.2,9161.9,8826.9,11187.5,9021.9,9497.4,9773,9495.9,12766.6,9273.6,4104.1,12104.3,17912.9,12182.6,9634.3,8764.9,22060.4,25044.7,19042.3,15225.8
4,country,Bermuda,0,0,0,0,0,0,0,34.7,102.7,60.5,66.9,41.7999999,5.4,12.9,831.6,43.7,261,610.6,78.17,-70.384,230.73,-257.87,47.61,54.9,-3.425,-143.094,82,-288.109271,95.4163715,4.9854,112.0496,1.531423,9.9267756,153.1841582,117.8399917
2,region,Developing economies,33608.2309,37876.10716,52579.69312,76275.29045,102174.2576,116735.7203,146305.613,185086.4116,171936.2186,207975.7467,222711.2967,212988.0128,165395.2388,194038.0908,258027.8987,322840.2922,391357.7389,506852.5671,554124.4734,436753.435,608758.7204,669539.1367,669888.9588,663035.206,686946.6055,738602.3666,672874.7761,699307.581,698040.7134,703480.7373,640943.2571,899485.7399,929608.8517,865408.0792,867161.6855
