level,type,Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
4,region,North Africa,135.2227998,262.6349999,-109.8919999,-429.549,122.0506165,132.5015365,98.6211899,467.8969517,324.4536233,291.6172816,248.4138902,299.3144164,25.0290819,129.7362549,724.1680794,286.757852,1134.313031,5391.73893,8653.777945,2498.191452,4780.820747,1490.309903,3098.365994,392.0934269,769.5345478,1364.095196,1514.733018,1369.852175,2269.299043,1727.294774,355.7128425,993.8709286,1170.943526,1577.411969,1244.235062
5,country,Algeria,4.6887999,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1,7.5999999,13.6999999,9.3,98.5699999,28.320633,245.449809,-20.193425,33.973133,150.627112,317.982705,214.813772,220.493962,533.510476,-41.3013347,-268.410758,-18.2972368,103.2047136,46.856674,-17.5446015,854.1769342,30.98985,14.67022,-51.5397,85.07621,83.51073,53.4515729
5,country,Egypt,12,62,4,25,62.2999999,34.2,4.9,165.9,45.5,37.5,51.2,12.4,27.8,20.6999999,158.9,92,148.4,664.7999998,1920.2,571.1,1175.5,625.5,211.0999999,301,252.6999998,181.6999998,206.5999999,199,323.5,405,326.5,367,341.8,390.4,508
5,country,Libya,105.2339999,173.834,-150.5929999,-479.35,28.0496166,82.9005366,63.32019,284,255.788,225.954,98,175,-136,63,286,128,474,3947,5888.2,1165,2722,131,2509,6,77,394.7989999,440,110,275.5377969,376.5,-487.2,-55.35,50,-164.1833333,-56.5111111
5,country,Morocco,13,23,32,23,24,12,28,8.795951752,20.36562332,18.06328165,58.51998945,97.0538795,28.32876612,12.28277966,29.80372169,74.61920517,444.8825433,609.0208768,485.1922434,470.2560475,588.7734105,178.9892792,406.12208,331.9612159,436.3373359,653.2948942,579.6596067,1020.945109,782.0818482,892.9949186,458.3626545,644.4913291,640.9032484,1227.763989,693.597968
5,country,Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.2,0,0,0
5,country,Tunisia,0.3,3.7999999,4.7,1.8,7.7,3.3999999,2.3999999,9.1999999,1.8,2.5,26.99390084,5.56053687,6.330315883,5.432842308,4.014548725,12.33207187,33.05735451,20.29094088,42.20299641,77.02163271,74.05337432,21.31014789,13.44524903,21.54296899,21.79444889,31.09658804,241.6167372,57.45166723,34.00246405,21.81000554,43.37996798,35.06929944,53.16406753,39.92058379,45.69663229
4,region,Other Africa,523.0529645,1073.436191,2494.894853,1005.197063,1790.364559,2843.065529,1718.743428,3089.062787,1294.473313,2311.515061,1299.655887,-2938.774955,342.7927676,1246.925762,2236.706352,1724.23424,7051.72649,5435.388794,1300.668008,3875.628195,5617.722933,3827.530696,7429.068886,10704.39079,9771.915774,8211.440828,6922.432702,9897.582009,5646.942052,3445.438711,2103.56437,4103.965284,2787.745865,-1381.15204,1203.150182
5,region,Central Africa,51.5402172,51.7465661,79.5859699,42.9758998,14.1979969,34.8612053,22.5756813,31.73811295,0.3958481444,17.25733682,37.05180993,46.4967961,-49.24630601,-28.13416492,-12.81172467,80.2834349,-25.1563216,139.1305867,-54.0224435,166.9520368,346.363,-230.0864297,356.0652253,25.38109787,173.707949,404.4392096,366.1993483,261.7877696,79.37260195,421.8443134,278.4205131,498.3313145,489.7512949,127.9968347,402.7444004
6,country,Burundi,0.0058392,0.0275463,0,0.135926,0.102904,0.600583,0,0,0,0,0,0,0,0,0,0,0,0.0350319,0.5815179,0,0,0,0,0.1667296,0.0273823,0,0.6622634,-2.6803809,0,0.7480321,0.639981,1.0988293,1.6268625,1.0506376,8.5480669
